d1_or_not,primary_position,height,weight,sixty_time,of_velo,player_region,exit_velo_max,throwing_hand,hitting_handedness
0,OF,74.0,185.0,7.16,82.0,Midwest,87.7,R,R
0,OF,70.0,165.0,6.75,81.0,Northeast,88.4,L,L
0,OF,72.0,178.0,6.61,81.0,South,91.6,R,R
1,OF,70.0,195.0,6.45,87.0,Midwest,101.3,R,L
0,OF,68.0,150.0,7.35,76.0,Northeast,80.0,R,L
1,OF,77.0,215.0,7.19,,Midwest,97.5,R,L
0,OF,63.0,135.0,7.011239051818848,,South,91.89093017578124,L,L
0,OF,73.0,175.0,7.0,77.0,Northeast,93.8,R,R
0,OF,72.0,180.0,6.82,92.0,Midwest,98.1,R,R
0,OF,75.0,200.0,7.5,78.0,Northeast,93.7,L,L
0,OF,73.0,175.0,6.8,88.0,South,92.6,R,R
0,OF,74.0,195.0,7.12,85.0,South,86.2,R,R
0,OF,75.0,230.0,6.95,91.0,Midwest,106.2,R,R
0,OF,71.0,183.0,7.22,90.0,South,91.3,R,R
0,OF,69.0,180.0,6.6,81.0,West,100.6,R,R
0,OF,73.0,168.0,7.23,65.0,Midwest,85.6,R,R
0,OF,69.0,160.0,7.42,73.0,West,90.4,L,R
0,OF,72.0,200.0,7.08,83.0,South,96.5,R,R
0,OF,70.0,160.0,7.28,85.0,Midwest,96.0,R,R
0,OF,74.0,190.0,6.96,74.0,Northeast,93.2,R,R
1,OF,71.0,212.0,6.61,90.0,West,98.5,R,R
0,OF,69.0,160.0,6.832359790802002,,South,93.75550079345705,R,L
0,OF,73.0,180.0,6.59,87.0,Midwest,88.9,R,R
0,OF,69.0,180.0,7.04,90.0,Midwest,97.4,R,R
0,OF,72.0,150.0,6.85,80.0,Northeast,80.0,R,R
1,OF,74.0,183.0,7.01,88.0,Northeast,99.4,R,L
0,OF,74.0,190.0,6.88,82.0,Midwest,92.1,L,L
0,OF,68.0,160.0,6.98,76.0,South,83.6,L,L
0,OF,73.0,192.0,7.03,77.0,South,91.0,R,R
0,OF,70.0,200.0,7.63,74.0,Northeast,92.3,R,R
0,OF,70.0,201.1,7.38,77.0,Northeast,86.4,R,R
0,OF,73.0,190.0,7.02,80.0,Midwest,100.2,R,L
0,OF,73.0,180.0,7.9,82.0,Midwest,87.0,R,R
0,OF,73.0,185.0,7.07,84.0,Midwest,97.3,R,R
0,OF,72.0,155.0,7.274637699127197,76.0,Midwest,83.4,R,R
0,OF,73.0,205.0,7.19,80.0,South,80.0,L,L
1,OF,67.0,160.0,6.911069869995117,,South,97.21266174316406,L,L
1,OF,74.0,160.0,7.311999320983887,,South,94.11096954345705,R,R
0,OF,73.0,190.0,7.234095573425293,,South,94.8943862915039,R,R
0,OF,70.0,175.0,7.26,91.0,Midwest,90.1,R,R
1,OF,72.0,180.0,6.88,84.0,South,93.7,R,R
0,OF,77.0,190.0,6.72,76.0,Northeast,96.1,R,R
1,OF,69.0,165.0,7.03,82.0,Midwest,87.1,R,R
1,OF,70.0,170.0,6.56,88.0,Midwest,94.8,R,R
1,OF,73.0,175.0,7.31,88.0,Northeast,91.3,R,R
0,OF,70.0,157.0,6.65,86.0,Midwest,93.7,R,R
0,OF,73.0,200.0,7.073704242706299,,South,91.47064208984376,R,R
0,OF,67.0,150.0,7.257351875305176,,Northeast,89.12386322021484,R,L
1,OF,70.0,175.0,7.19,79.0,South,90.4,R,L
1,OF,76.0,180.0,6.79,88.0,Midwest,92.0,R,R
0,OF,72.0,193.0,7.31,78.0,South,90.2,R,R
0,OF,73.0,160.0,6.99,82.0,West,95.2,R,R
0,OF,72.0,165.0,7.188957691192627,93.0,South,92.0,R,R
1,OF,73.0,190.0,6.86,95.0,Northeast,92.8,R,R
0,OF,71.0,155.0,7.16,82.0,South,94.1,R,R
0,OF,70.0,185.0,7.158192157745361,,Midwest,86.23503875732422,L,L
0,OF,72.0,200.0,7.1,88.0,West,107.0,L,L
0,OF,69.0,175.0,6.95,83.0,South,92.8,R,R
1,OF,72.0,175.0,6.81,87.0,South,94.7,R,R
1,OF,72.0,185.0,7.04,85.0,West,97.5,L,R
0,OF,74.0,187.0,7.524311065673828,,South,85.97109985351562,R,R
0,OF,72.0,185.0,6.81,80.0,South,90.7,L,L
1,OF,72.0,180.0,7.093507766723633,87.0,South,96.0,R,R
0,OF,72.0,145.0,7.19,82.0,Midwest,75.0,R,L
1,OF,73.0,180.0,7.06,83.0,Midwest,92.5,L,L
0,OF,72.0,215.0,7.091587543487549,,South,92.58902740478516,R,R
1,OF,76.0,195.8,6.41,81.0,South,100.8,R,R
0,OF,65.0,150.0,7.09,82.0,South,88.2,R,L
0,OF,73.0,185.0,7.24,87.0,Midwest,87.0,R,R
0,OF,70.0,190.0,7.158883571624756,,Northeast,91.40866088867188,R,R
1,OF,76.0,188.0,7.1,86.0,South,96.6,L,L
0,OF,72.0,182.0,7.081174850463867,,South,94.5,R,R
0,OF,68.0,155.0,7.22,82.0,South,96.9,L,R
0,OF,67.0,135.0,8.16,73.0,West,82.2,R,L
0,OF,70.0,170.0,7.166959285736084,,South,89.5613021850586,L,R
0,OF,71.0,160.0,7.265095233917236,,West,85.34114074707031,R,R
1,OF,72.0,180.0,6.98,93.0,West,96.6,R,L
0,OF,71.0,165.0,6.87,85.0,Northeast,84.0,R,R
0,OF,72.0,195.0,6.94,91.0,Midwest,95.4,R,R
0,OF,71.0,175.7,6.86,78.0,South,88.3,L,L
0,OF,68.0,180.0,7.255751609802246,,West,90.80355834960938,L,L
0,OF,72.0,175.0,7.078437805175781,77.0,Northeast,82.5,R,L
0,OF,72.0,160.0,7.52,88.0,Midwest,85.8,R,L
0,OF,70.0,160.0,6.83,81.0,South,92.8,R,R
0,OF,74.0,175.0,7.27,84.0,West,89.1,R,L
1,OF,72.0,190.0,6.82,82.0,Midwest,100.0,R,L
0,OF,71.0,195.0,6.97,85.0,West,97.7,R,R
0,OF,69.0,170.4,6.91,81.0,Northeast,97.4,L,R
0,OF,72.0,175.0,6.66,86.0,Midwest,94.0,L,L
1,OF,74.0,205.0,7.16,83.0,West,97.1,R,R
0,OF,74.0,170.0,7.1,82.0,South,90.3,R,R
