p4_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
1,C,70.0,185.0,7.18,82.0,2.0,Northeast,101.0,R,R
1,C,71.0,190.0,7.48,74.0,2.2,Northeast,89.0,R,L
1,C,70.0,174.8,6.92,77.0,2.0,South,88.0,R,R
0,C,71.0,195.0,6.96,80.0,1.9,South,101.1,R,R
1,C,75.0,205.0,7.064360618591309,80.0,2.0,South,92.0,R,L
0,C,75.0,215.0,7.22,80.0,2.0,South,93.0,R,L
0,C,72.0,195.0,6.99,75.0,2.0,Midwest,93.2,R,S
1,C,68.0,175.0,6.83,86.0,1.9,South,98.5,R,R
1,C,72.0,183.0,7.75,80.0,2.0,South,93.8,R,L
0,C,71.0,195.0,7.99,72.0,2.1,South,86.6,L,S
1,C,75.0,206.8,7.39,77.0,1.9,West,95.5,R,R
1,C,72.0,190.0,7.529512882232666,80.0,1.9,South,96.6,R,R
0,C,72.0,190.0,7.27,83.0,1.9,Northeast,98.0,R,R
1,C,73.0,215.0,7.13,84.0,1.9,Midwest,102.2,R,R
0,C,75.0,175.0,6.84,79.0,1.9,Northeast,91.7,R,R
0,C,70.0,170.0,7.38,75.0,2.1,Midwest,84.0,R,R
1,C,76.0,230.0,7.3,87.0,1.9,West,104.7,R,R
1,C,72.0,190.0,6.9,76.0,2.1,South,87.0,R,L
0,C,71.0,185.0,7.25,80.0,2.0,Northeast,87.3,R,R
1,C,74.0,215.0,7.01,83.0,1.9,South,96.5,R,R
0,C,73.0,180.0,7.27,76.0,2.1,South,90.0,R,R
1,C,72.0,175.0,7.3,78.0,2.1,West,95.6,R,S
0,C,73.0,192.0,7.21,78.0,2.0,South,93.8,R,R
0,C,73.0,200.0,7.47,79.0,2.0,South,88.1,R,R
1,C,72.0,190.0,7.45,74.0,2.1,South,80.3,R,R
0,C,74.0,220.0,7.6,83.0,1.9,Northeast,89.3,R,R
0,C,72.0,185.0,6.86,76.0,2.0,Northeast,96.0,R,L
0,C,71.0,195.0,7.29,74.0,2.0,South,93.3,R,S
0,C,72.0,185.0,7.3,80.0,2.0,West,91.6,R,R
0,C,72.0,195.0,7.15,79.0,2.0,South,95.4,R,L
0,C,72.0,190.0,7.08,79.0,1.9,South,91.2,R,R
0,C,73.0,195.0,7.44,74.0,2.1,South,94.0,R,R
0,C,76.0,235.0,7.19,80.0,1.9,South,97.6,R,R
