d1_or_not,primary_position,height,weight,sixty_time,c_velo,pop_time,player_region,exit_velo_max,throwing_hand,hitting_handedness
1,C,75.0,200.0,6.98,75.0,2.0,West,98.6,R,R
0,C,66.0,173.0,8.06,68.0,2.3,Northeast,80.1,R,R
1,C,72.0,185.0,6.7,80.0,1.9,Midwest,96.6,R,R
1,C,70.0,190.0,7.98,78.0,1.9,South,97.0,R,R
0,C,70.0,190.0,7.67,73.0,2.0,Northeast,90.2,R,R
0,C,73.0,210.0,7.48,81.0,2.2,Midwest,91.0,R,R
1,C,74.0,189.2,7.12,78.0,2.0,Midwest,93.5,R,R
1,C,72.0,194.0,6.8677754402160645,79.0,2.1,South,96.1,R,R
0,C,69.0,175.0,7.38,77.0,2.1,South,91.5,R,R
1,C,73.0,180.0,7.65,61.0,2.4,South,86.3,R,L
0,C,71.0,175.0,7.66,76.0,2.1,South,86.0,R,R
0,C,70.0,175.0,7.45,74.0,2.3,Midwest,90.5,R,R
0,C,72.0,200.0,8.07,73.0,2.0,West,83.9,R,R
1,C,73.0,205.0,6.76,84.0,1.9,Midwest,96.4,R,R
1,C,69.0,165.0,7.46,67.0,2.1,South,74.0,R,R
0,C,69.0,170.0,6.78,76.0,2.0,Midwest,89.4,R,R
0,C,70.0,195.0,7.37,74.0,2.0,Northeast,95.2,R,R
0,C,70.0,185.0,7.03,74.0,2.1,South,92.1,R,R
0,C,73.0,220.0,7.36,74.0,2.0,Northeast,93.6,R,R
0,C,68.0,164.0,7.44,78.0,2.0,South,87.4,R,R
0,C,67.0,163.0,7.86,64.0,2.5,South,84.1,R,R
0,C,72.0,205.0,7.49,74.0,2.0,Northeast,89.0,R,R
0,C,72.0,170.0,7.32,81.0,2.0,Midwest,88.5,R,R
0,C,71.0,185.0,7.5,76.0,2.0,South,86.6,R,L
0,C,74.0,210.0,7.6,74.0,2.0,Midwest,85.0,R,R
0,C,70.0,190.0,7.28,75.0,2.1,Midwest,93.2,R,R
0,C,69.0,175.0,7.29,78.0,1.9,West,93.9,R,R
0,C,68.0,184.8,7.25,77.0,2.0,West,91.5,R,R
0,C,72.0,175.0,7.31,75.0,2.1,West,97.0,R,R
0,C,72.0,180.0,7.156274318695068,77.0,2.0,West,86.0,R,R
0,C,70.0,210.0,7.72,72.0,2.2,Midwest,94.8,R,R
0,C,75.0,215.0,8.06,66.0,2.2,Midwest,84.1,R,R
0,C,71.0,175.0,7.75,75.0,2.0,Midwest,90.4,R,R
0,C,73.0,190.0,7.160472393035889,73.0,2.0,Midwest,90.0,R,R
0,C,71.0,180.0,6.83,68.0,2.0,Midwest,97.1,L,R
0,C,70.0,185.0,7.0,77.0,2.0,Northeast,90.8,R,R
0,C,71.0,180.0,7.36,75.0,1.9,South,87.8,R,R
0,C,74.0,190.0,6.81,78.0,1.9,South,88.0,R,R
0,C,74.0,150.0,7.51,72.0,2.1,Midwest,78.0,R,R
0,C,72.0,190.0,8.47,66.0,2.2,Midwest,84.7,R,L
0,C,74.0,245.0,7.91,68.0,2.3,Northeast,91.1,R,R
0,C,72.0,160.0,7.83,70.0,2.3,Northeast,79.5,R,R
0,C,72.0,205.0,7.51,78.0,2.0,South,93.8,R,R
0,C,72.0,215.0,8.14,73.0,2.1,South,93.9,R,R
0,C,71.0,195.0,7.91,77.0,2.1,Midwest,91.7,R,R
0,C,70.0,185.0,7.269886016845703,73.0,2.0,Northeast,93.3,R,R
0,C,72.0,201.0,7.75,78.0,2.0,Midwest,97.8,R,R
0,C,73.0,205.0,7.24,78.0,2.1,Midwest,95.2,R,R
0,C,70.0,180.0,7.4,74.0,1.9,Northeast,90.2,R,R
1,C,72.0,185.0,7.67,78.0,2.0,West,77.0,R,L
0,C,69.0,185.0,6.9,74.0,2.0,South,96.7,R,R
0,C,72.0,153.9,7.17,80.0,1.9,Midwest,93.1,R,R
0,C,67.0,170.0,7.07,72.0,1.9,South,89.3,R,R
0,C,72.0,141.0,7.33,72.0,2.0,West,83.7,R,S
0,C,73.0,195.0,7.62,68.0,2.2,South,90.2,R,R
0,C,71.0,183.0,7.8,76.0,2.1,South,88.4,R,R
